Type FR;Type NL;Type ENG;Adresse;Adres;Quartier;Wijk;WGS84_LONG;WGS84_LAT;WGS84_LALO;Accèssibilité PMR / Toegankelijkheid PBM;Gratuit / Gratis;Gestion/Beheer;Heures d'ouverture / Openingsuren;Type;Rue;Lokalisatie/localisation;Huisnummer/n° de rue;NIVEAU
TOILETTE;TOILET;TOILET;39, Rue de la Grande Ile;39, Groot Eiland;Pentagone;Vijfhoek;4.345713493066165;50.84597449398063;50.84597449398063, 4.345713493066165;null;?;Privé;null;Gastvrije toiletten / Toilettes accueillantes;Rue des Six Jetons;Salle Omnisport Fontainas;20;0
TOILETTE;TOILET;TOILET;60, Rue des Minimes;60, Minimenstraat;Pentagone;Vijfhoek;4.352846009797093;50.83931631463433;50.83931631463433, 4.352846009797093;Nee / Non;Gratuit / Gratis;Privé;12:00 - 23:30;Gastvrije toiletten / Toilettes accueillantes;Rue des Minimes;Café des Minimes;60;0
TOILETTE;TOILET;TOILET;42, Rue de la Bourse;42, Beursstraat;Pentagone;Vijfhoek;4.3512547846426335;50.84803740793817;50.84803740793817, 4.3512547846426335;null;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Rue de la Bourse;Café Casco;42-44;0
TOILETTE;TOILET;TOILET;44, Rue Grétry;44, Grétrystraat;Pentagone;Vijfhoek;4.3528096397743115;50.84887538920476;50.84887538920476, 4.3528096397743115;Nee / Non;Gratuit / Gratis;Privé;10:00 - 23:30;Gastvrije toiletten / Toilettes accueillantes;Rue Grétry;La Corte Gastronomica;44;0
TOILETTE;TOILET;TOILET;4, Place du Nouveau Marché aux Grains;4, Nieuwe Graanmarkt;Pentagone;Vijfhoek;4.345324768988002;50.85109536569351;50.85109536569351, 4.345324768988002;Ja / Oui;Payant / Betalend;MIVB / STIB;24h/24h;Openbaar toilet / Toilette publique;Place du Nouveau Marché aux Grains;arrêt de bus STIB / bushalte MIVB;4;0
TOILETTE;TOILET;TOILET;50, Place du Jeu de Balle;50, Vossenplein;Pentagone;Vijfhoek;4.345859031594704;50.83649060499509;50.83649060499509, 4.345859031594704;null;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Place du Jeu de Balle;Mazette;50;0
TOILETTE;TOILET;TOILET;11, Place Fontainas;11, Fontainasplein;Pentagone;Vijfhoek;4.346010793979983;50.84561224580728;50.84561224580728, 4.346010793979983;Ja / Oui;Gratuit / Gratis;Stad Brussel / Ville de Bruxelles;24h/24h;Openbaar toilet / Toilette publique;Place Fontainas;angle Impasse de la Barbe;11;0
TOILETTE;TOILET;TOILET;25, Place Anneessens;25, Anneessensplein;Pentagone;Vijfhoek;4.344510742285331;50.84390791844798;50.84390791844798, 4.344510742285331;null;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Place Anneessens;Hôtel Barry;25;0
TOILETTE;TOILET;TOILET;3, Square de la Cité Modèle;3, Modelwijksquare;Laeken;Laken;4.323415931753208;50.895148650413326;50.895148650413326, 4.323415931753208;Ja / Oui;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Cité Modèle;Maison de Quartier Modele;Annexe blo;0
TOILETTE;TOILET;TOILET;208, Chaussée d'Anvers;208, Antwerpsesteenweg;Nord;Noord;4.357668671177302;50.86493076229985;50.86493076229985, 4.357668671177302;null;?;Privé;null;Gastvrije toiletten / Toilettes accueillantes;Chaussée d'Anvers;Centre Pôle Nord;208;0
TOILETTE;TOILET;TOILET;41, Avenue Jean Sobieski;41, Jan Sobieskilaan;Laeken;Laken;4.345776818508288;50.89115669830149;50.89115669830149, 4.345776818508288;Ja / Oui;Gratuit / Gratis;Stad Brussel / Ville de Bruxelles;24h/24h;Openbaar toilet / Toilette publique;Boulevard du Centenaire;Parking bus / Busparking;41;0
TOILETTE;TOILET;TOILET;10, Boulevard Emile Jacqmain;10, Emile Jacqmainlaan;Pentagone;Vijfhoek;4.352985210149543;50.852317835006474;50.852317835006474, 4.352985210149543;null;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Boulevard Emile Jacqmain;Barecode Café;10;0
TOILETTE;TOILET;TOILET;14, Borgval;14, Borgwal;Pentagone;Vijfhoek;4.347777920089048;50.84771011563119;50.84771011563119, 4.347777920089048;Nee / Non;Gratuit / Gratis;Privé;15:00 - 04:00;Gastvrije toiletten / Toilettes accueillantes;Borgval;Le Café Central;14;0
TOILETTE;TOILET;TOILET;24, Avenue de la Joyeuse Entrée;24, Blijde Inkomstlaan;Nord-Est;Noord-Oost;4.3860942307194835;50.84223697129007;50.84223697129007, 4.3860942307194835;null;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Avenue de la Joyeuse Entrée;Le Park Side;24;0
TOILETTE;TOILET;TOILET;525, Avenue Louise;525, Louizalaan;Louise;Louiza;4.372130852905398;50.815229846727696;50.815229846727696, 4.372130852905398;Nee / Non;Payant / Betalend;MIVB / STIB;24h/24h;Openbaar toilet / Toilette publique;Avenue Louise;arrêt de tram STIB / tramhalte MIVB;525;0
TOILETTE;TOILET;TOILET;73, Avenue Houba de Strooper;73, Houba de Strooperlaan;Laeken;Laken;4.339699958718412;50.88817114625918;50.88817114625918, 4.339699958718412;Nee / Non;Gratuit / Gratis;Privé;12:00 - 22:00;Gastvrije toiletten / Toilettes accueillantes;Avenue Houba de Strooper;L'Aquarelle;73;0
TOILETTE;TOILET;TOILET;11, Rue du Gentilhomme;11, Jonkersstraat;Pentagone;Vijfhoek;4.361822029153388;50.84754601198355;50.84754601198355, 4.361822029153388;null;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Rue du Gentilhomme;Spread The Moon;11-13;0
TOILETTE;TOILET;TOILET;71, Rue de l'Enseignement;71, Onderrichtsstraat;Pentagone;Vijfhoek;4.365454886660213;50.84898079477347;50.84898079477347, 4.365454886660213;Nee / Non;Gratuit / Gratis;Privé;14:30 - 20:00;Gastvrije toiletten / Toilettes accueillantes;Rue de l'Enseignement;Pizzeria Fantastico;71;0
TOILETTE;TOILET;TOILET;3, Rue de l'Ecuyer;3, Schildknaapsstraat;Pentagone;Vijfhoek;4.353118309420393;50.8493523134518;50.8493523134518, 4.353118309420393;Nee / Non;Gratuit / Gratis;Privé;09:00 - 00:00;Gastvrije toiletten / Toilettes accueillantes;Rue de l'Ecuyer;l'Ecuyer;3;0
TOILETTE;TOILET;TOILET;16, Rue Van Campenhout;16, Van Campenhoutstraat;Nord-Est;Noord-Oost;4.3857611365979565;50.8476885450209;50.8476885450209, 4.3857611365979565;Ja / Oui;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Rue Van Campenhout;Maison de Quartier Nord EST;16;0
TOILETTE;TOILET;TOILET;94, Rue Haute;94, Hoogstraat;Pentagone;Vijfhoek;4.351195744024743;50.840010314151094;50.840010314151094, 4.351195744024743;Nee / Non;Gratuit / Gratis;Privé;10:00 - 18:00;Gastvrije toiletten / Toilettes accueillantes;Rue Haute;Yamansu;94;0
TOILETTE;TOILET;TOILET;112, Rue De Wand;112, De Wandstraat;Neder-Over-Heembeek/Mutsaard;Neder-Over-Heembeek/Mutsaard;4.36002830061148;50.8996053499162;50.8996053499162, 4.36002830061148;Nee / Non;Gratuit / Gratis;Privé;12:00 - 18:00;Gastvrije toiletten / Toilettes accueillantes;Rue De Wand;Capoue;112;0
TOILETTE;TOILET;TOILET;34, Rue Archimède;34, Archimedesstraat;Nord-Est;Noord-Oost;4.383608176132446;50.84498776094434;50.84498776094434, 4.383608176132446;Nee / Non;Gratuit / Gratis;Privé;16:00 - 02:00;Gastvrije toiletten / Toilettes accueillantes;Rue Archimède;The James Joyce Irish Bar;34;0
TOILETTE;TOILET;TOILET;114, Rue Antoine Dansaert;114, Antoine Dansaertstraat;Pentagone;Vijfhoek;4.343739797773964;50.85190260142964;50.85190260142964, 4.343739797773964;Nee / Non;Gratuit / Gratis;Privé;11:00 - 23:00;Gastvrije toiletten / Toilettes accueillantes;Rue Antoine Dansaert;Barbeton;114;0
